ticker,1Y,6M,1M,1W,1D,set,momentum_score,news_score,news_count,news_bullish_weight,news_bearish_weight,news_neutral_weight,primary_driver,prediction,confidence,last_close,priority,prediction_date,prediction_time
INFY,-24.52,-13.37,-3.65,1.84,-0.77,---+-,-3,7,1,7,0,0,NEWS,BULLISH,86,1131.2,1,2026-09-03,13:41:35 IST
RELIANCE,-4.32,-5.9,2.14,1.97,-0.43,--++-,-1,7,1,7,0,0,NEWS,BULLISH,82,1307.4,2,2026-09-03,13:41:35 IST
SBIN,27.86,-12.11,-2.57,-1.44,0.69,+---+,-1,-7,1,0,7,0,NEWS,BEARISH,82,1027.9,3,2026-09-03,13:41:35 IST
BHARTIARTL,-1.12,-2.14,-5.66,-0.65,0.18,----+,-3,-15,3,0,15,7,NEWS,BEARISH,76,1866.1,4,2026-09-03,13:41:35 IST
HDFCBANK,-25.22,-19.53,-3.9,-0.66,0.78,----+,-3,-35,17,8,43,77,NEWS,BEARISH,64,706.3,5,2026-09-03,13:41:35 IST
TCS,-25.21,-9.76,-3.56,3.5,-0.89,---+-,-3,0,1,0,0,7,MIXED,NEUTRAL,56,2327.2,6,2026-09-03,13:41:35 IST
ICICIBANK,3.22,6.0,-0.76,-0.27,0.88,++--+,1,-7,22,7,14,144,NEWS,BEARISH,53,1439.1,7,2026-09-03,13:41:35 IST
LT,11.58,-1.23,-1.68,-0.94,0.2,+---+,-1,0,1,0,0,7,MIXED,NEUTRAL,52,3989.0,8,2026-09-03,13:41:35 IST
RPOWER,-52.16,-1.91,-8.48,-2.6,0.32,----+,-3,0,0,0,0,0,NO RELEVANT NEWS,NEUTRAL,50,22.12,9,2026-09-03,13:41:35 IST
ITC,-34.97,-15.09,-7.82,-1.67,-0.68,-----,-5,0,0,0,0,0,NO RELEVANT NEWS,NEUTRAL,50,264.5,10,2026-09-03,13:41:35 IST
